file_name,text
006009110X.jpg,"children's drawing of a vampire in a black cape in a laboratory with his hunchbacked assistant and the caption ""a drop of blood"" written in red"
0060099208.jpg,"children's drawing of a detective in brown clothes holding a magnifying glass in a jungle with a giraffe looming from the left side behind him and the caption ""Big Max and the mystery of the missing giraffe"""
0060256710.jpg,"children's drawing of a black and white image with an incomplete sphere and the title ""the missing piece"""
0060271396.jpg,"children's drawing of three vehicles, three red buildings, two gray rats and two trash cans around the title ""Trashy town"""
0060283246.jpg,"children's drawing of a black and white cat looking at cupcakes of different colors and the title ""If you give a cat a cupcake"""
0060284870.jpg,"children's drawing of a hen on the bank of a river and a crocodile coming out of the river under the caption ""Crocodile and hen"""
0060291907.jpg,"drawing of a boy looking up at some paper animals with the caption ""My Chinatown"""
0060526335.jpg,"children's drawing of children playing with sticks and the title in red ""ROXABOXEN"""
0060560452.jpg,"children's drawing of a person driving a red car under the title ""My Car"""
0060560665.jpg,"children's drawing of a happy white rat with a pink dress and below the caption ""LILLY'S CHOCOLATE HEART"""
0060565098.jpg,"children's drawing of a family with a baby and a dog and the title ""The First Four Years"""
0060591374.jpg,"drawing of a boy wearing a hat surrounded by red apples and the title ""JOHNNY APPLESEED"""
0060732113.jpg,"children's drawing of six mice wearing clothes around the title ""A BOX OF TREATS"""
0060759046.jpg,"children's drawing of a yellow dog with red collar below the caption ""Biscuit"""
0060760907.jpg,"children's drawing of three women in an orange city with the title ""One Crazy Summer"""
0060928689.jpg,"children's drawing of a girl dancing on a cobblestone path below the caption ""Fanny at Chez Parisse"""
0061123250.jpg,"children's drawing of a pig drawn with black lines next to the title ""NOT A STICK"""
0061131679.jpg,"children's drawing of a stray cat with a yellow background and the caption ""WARRIORS FIRESTAR'S QUEST"""
0061215341.jpg,"children's drawing of a dog with four chickens next to the title ""THE Trouble WITH CHICKENS"""
0061234796.jpg,"children's drawing of two kids with a red guitar and a school bus with the title ""Mr. Louie is screwy!"""
0061235989.jpg,"children's drawing of two girls next to a banquet with the caption ""Fancy Nancy Our Thanksgiving banquet"""
0061756903.jpg,"children's drawing of a boy and a girl surfing in the sea below the title ""Dude Fun with Dude and Betty"""
0061804428.jpg,"children's drawing of a girl holding a strike signal outside a building with the title ""BRAVE GIRL"""
0061935069.jpg,"children's drawing of a yellow dog reading a book with the title ""Biscuit loves the library"""
0061963739.jpg,"children's drawing of a boy staring at a painting of funny glasses with the title ""FUNNY BUSINESS"""
0061996572.jpg,"children's drawing of a dog and a cat under a Christmas tree with the caption ""CHARLIE and the Christmas kitty"""
0062012932.jpg,"children's drawing of Halloween monters around a pumpking with the carved title ""HALLOWEEN NIGHT"""
0062020552.jpg,"drawing of three kids at the entrance of a blue castle above the title ""STORY'S END"""
0062086707.jpg,"children's drawing of three kids riding horses in a forest with the caption ""I Can Read! 2 The Trail Ride"""
0062110586.jpg,"children's drawing of a cat on a red skateboard and the title ""Pete the Cat"""
0062110667.jpg,"children's drawing of a cat playing baseball with the caption ""I Can Read! Pete the Cat PLAY BALL"""
0062219111.jpg,"children's drawing of a dog playing in the snow under the title ""CHARLIE the Ranch Dog Charlie's SNOW DAY"""
0062224085.jpg,"children's drawing of a green monster on an air balloon with the title ""FORTUNATELY, THE MILK"""
0062266934.jpg,"children's drawing of a hen and a dog dancing with the caption ""TUG THE PUP"""
0062274686.jpg,"children's drawing of three sleepy chickens below the title ""Bedtime for Chickens"""
0062288849.jpg,"children's drawing of a girl dressed as a fairy with the title ""FANCY NANCY Fabulous Fall Story Collection"""
0062294962.jpg,"children's drawing of a man and two zombies with the caption ""PLANTS vs. ZOMBIES SAVE YOUR BRAINS!"""
0062303856.jpg,"children's drawing of a cat riding a red and yellow train with the title ""Pete the Cat's TRAIN TRIP"""
0062330160.jpg,"children's drawing of a girl in pink swimsuit holding a mermaid doll below the caption ""Aqualicious"""
0062335367.jpg,"children's drawing of a penguin standing on ice and the title ""Little Penguin Gets the Hiccups"""
0062347772.jpg,"children's drawing of a dog wearing sunglasses over a pink blanket and the caption ""CHARLIE the Ranch dog ROCK STAR"""
0062367919.jpg,"children's drawing of a green living room with the moon through the window and the title ""GOODNIGHT MOON BUENAS NOCHES LUNA"""
0062420399.jpg,"picture of a police dog with the title ""MAX BEST FRIEND HERO MARINE"""
0062430610.jpg,"children's drawing of a cat surrounded by a pink heart and yellow flowers with the caption ""Pete the Cat's Groovy Guide to Love"""
0064401324.jpg,"picture of a black and a white sled dogs with the title ""STONE FOX"""
0064404781.jpg,"drawing of a girl with a red dress in the field below the title ""Little House on Rocky Ridge"""
0064408884.jpg,"drawing of a black and white arm grabbing a foot with the title ""Skeleton man"""
0064409597.jpg,"children's drawing of a yellow dog with the title ""LOVE THAT DOG"""
0064430103.jpg,"children's drawing of a dog in the beach with an umbrella and the caption ""HARRY BY THE SEA"""
0064430871.jpg,"children's drawing of a rooster in a farm below the title ""Chanticleer AND THE FOX"""
0064432807.jpg,"children's drawing of an astrounaut in space with the title ""I Want To Be an Astronaut"""
0064432955.jpg,"drawing of a man riding a bicycle with the title ""BICYCLE RIDER"""
0064434435.jpg,"children's drawing of two dogs staring at each other and the title ""HARRY el perrito sucio"""
0064435776.jpg,"children's drawing of a grey dragon and a boy with a sword and the title ""THE IRISH CINDERLAD"""
0064436020.jpg,"children's drawing of two yellow ducks dressed and dancing over tomatoes with the title ""I LOVE YOU! A Bushel & A Peck"""
0064437930.jpg,"children's drawing of a man riding an elephant in a forest with the caption ""CIRCUS CAPS FOR SALE"""
